"row_id","original_path","archived_path","classification","outcome","source_path","source_line"
"1","docs/reviews/2026-09-12-claude-v1.2-audit.md","docs/reviews/archive/2026-09-12-claude-v1.2-audit.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","7"
"2","docs/reviews/2026-09-17-three-repository-review.md","docs/reviews/archive/2026-09-17-three-repository-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","8"
"3","docs/reviews/2026-09-18-adversarial-audit-v1.9.4.md","docs/reviews/archive/2026-09-18-adversarial-audit-v1.9.4.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","9"
"4","docs/reviews/2026-09-18-claude-opus-v1.9.3-audit.md","docs/reviews/archive/2026-09-18-claude-opus-v1.9.3-audit.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","10"
"5","docs/reviews/2026-09-18-claude-v1.9.3-audit.md","docs/reviews/archive/2026-09-18-claude-v1.9.3-audit.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","11"
"6","docs/reviews/2026-09-18-codegeex-audit-v1.9.md","docs/reviews/archive/2026-09-18-codegeex-audit-v1.9.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","12"
"7","docs/reviews/2026-09-18-copilot-consensus-critical-analysis.md","docs/reviews/archive/2026-09-18-copilot-consensus-critical-analysis.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","13"
"8","docs/reviews/2026-09-18-deepseek-audit-v1.9.md","docs/reviews/archive/2026-09-18-deepseek-audit-v1.9.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","14"
"9","docs/reviews/2026-09-18-deepseek-flash-adversarial-audit-v1.9.3.md","docs/reviews/archive/2026-09-18-deepseek-flash-adversarial-audit-v1.9.3.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","15"
"10","docs/reviews/2026-09-18-deepseek-flash-consensus-verification.md","docs/reviews/archive/2026-09-18-deepseek-flash-consensus-verification.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","16"
"11","docs/reviews/2026-09-18-deepseek-flash-p1-gate-review.md","docs/reviews/archive/2026-09-18-deepseek-flash-p1-gate-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","17"
"12","docs/reviews/2026-09-18-deepseek-flash-p2-gate-review.md","docs/reviews/archive/2026-09-18-deepseek-flash-p2-gate-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","18"
"13","docs/reviews/2026-09-18-deepseek-flash-p2-regate-review.md","docs/reviews/archive/2026-09-18-deepseek-flash-p2-regate-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","19"
"14","docs/reviews/2026-09-18-deepseek-flash-p2f3-p1-regate-review.md","docs/reviews/archive/2026-09-18-deepseek-flash-p2f3-p1-regate-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","20"
"15","docs/reviews/2026-09-18-deepseek-flash-p3-gate-review.md","docs/reviews/archive/2026-09-18-deepseek-flash-p3-gate-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","21"
"16","docs/reviews/2026-09-18-deepseek-flash-p4-gate-review.md","docs/reviews/archive/2026-09-18-deepseek-flash-p4-gate-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","22"
"17","docs/reviews/2026-09-18-deepseek-flash-p5-gate-review.md","docs/reviews/archive/2026-09-18-deepseek-flash-p5-gate-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","23"
"18","docs/reviews/2026-09-18-deepseek-flash-p5-regate-review.md","docs/reviews/archive/2026-09-18-deepseek-flash-p5-regate-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","24"
"19","docs/reviews/2026-09-18-deepseek-flash-v1.9.3-audit.md","docs/reviews/archive/2026-09-18-deepseek-flash-v1.9.3-audit.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","25"
"20","docs/reviews/2026-09-18-deepseek-flash-v1.9.4-consolidated-final-plan.md","docs/reviews/archive/2026-09-18-deepseek-flash-v1.9.4-consolidated-final-plan.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","26"
"21","docs/reviews/2026-09-18-deepseek-flash-v1.9.4-final-hardening-plan.md","docs/reviews/archive/2026-09-18-deepseek-flash-v1.9.4-final-hardening-plan.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","27"
"22","docs/reviews/2026-09-18-grand-council-consensus-v1.9.0.md","docs/reviews/archive/2026-09-18-grand-council-consensus-v1.9.0.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","28"
"23","docs/reviews/2026-09-18-performance-analysis.md","docs/reviews/archive/2026-09-18-performance-analysis.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","29"
"24","docs/reviews/2026-09-18-qwen-audit-v1.9.md","docs/reviews/archive/2026-09-18-qwen-audit-v1.9.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","30"
"25","docs/reviews/2026-09-18-qwen-hostile-audit-v1.9.3.md","docs/reviews/archive/2026-09-18-qwen-hostile-audit-v1.9.3.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","31"
"26","docs/reviews/2026-09-18-v1.9.4-final-adversarial-audit-prompt.md","docs/reviews/archive/2026-09-18-v1.9.4-final-adversarial-audit-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","32"
"27","docs/reviews/2026-09-19-claude-opus-delta-certification-request.md","docs/reviews/archive/2026-09-19-claude-opus-delta-certification-request.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","33"
"28","docs/reviews/2026-09-19-claude-v1.9.4-release-certification.md","docs/reviews/archive/2026-09-19-claude-v1.9.4-release-certification.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","34"
"29","docs/reviews/2026-09-19-copilot-v1.9.4-release-certification.md","docs/reviews/archive/2026-09-19-copilot-v1.9.4-release-certification.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","35"
"30","docs/reviews/2026-09-19-deepseek-flash-a2-audit-addendum.md","docs/reviews/archive/2026-09-19-deepseek-flash-a2-audit-addendum.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","36"
"31","docs/reviews/2026-09-19-deepseek-flash-certification-integrity-and-consolidation.md","docs/reviews/archive/2026-09-19-deepseek-flash-certification-integrity-and-consolidation.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","37"
"32","docs/reviews/2026-09-19-deepseek-flash-consolidated-v1.9.5-plan-r2.md","docs/reviews/archive/2026-09-19-deepseek-flash-consolidated-v1.9.5-plan-r2.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","38"
"33","docs/reviews/2026-09-19-deepseek-flash-final-plan-probe-review.md","docs/reviews/archive/2026-09-19-deepseek-flash-final-plan-probe-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","39"
"34","docs/reviews/2026-09-19-deepseek-flash-mcp-selection-analysis.md","docs/reviews/archive/2026-09-19-deepseek-flash-mcp-selection-analysis.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","40"
"35","docs/reviews/2026-09-19-deepseek-flash-release-tag-erratum.md","docs/reviews/archive/2026-09-19-deepseek-flash-release-tag-erratum.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","41"
"36","docs/reviews/2026-09-19-deepseek-flash-v1.9.4-adversarial-support.md","docs/reviews/archive/2026-09-19-deepseek-flash-v1.9.4-adversarial-support.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","42"
"37","docs/reviews/2026-09-19-gemini-c1-docfix-prompt.md","docs/reviews/archive/2026-09-19-gemini-c1-docfix-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","43"
"38","docs/reviews/2026-09-19-gemini-c1-instrumentation-prompt.md","docs/reviews/archive/2026-09-19-gemini-c1-instrumentation-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","44"
"39","docs/reviews/2026-09-19-gemini-ci-hotfix-prompt.md","docs/reviews/archive/2026-09-19-gemini-ci-hotfix-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","45"
"40","docs/reviews/2026-09-19-gemini-final-plan-adversarial-review.md","docs/reviews/archive/2026-09-19-gemini-final-plan-adversarial-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","46"
"41","docs/reviews/2026-09-19-gemini-interim-plan-adversarial-review.md","docs/reviews/archive/2026-09-19-gemini-interim-plan-adversarial-review.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","47"
"42","docs/reviews/2026-09-19-gemini-stop-cycle-fix-prompt.md","docs/reviews/archive/2026-09-19-gemini-stop-cycle-fix-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","48"
"43","docs/reviews/2026-09-19-gemini-trackc-m0-c2-prompt.md","docs/reviews/archive/2026-09-19-gemini-trackc-m0-c2-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","49"
"44","docs/reviews/2026-09-19-gemini-v1.9.4-release-audit.md","docs/reviews/archive/2026-09-19-gemini-v1.9.4-release-audit.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","50"
"45","docs/reviews/2026-09-19-gemini-v1.9.5-certification.md","docs/reviews/archive/2026-09-19-gemini-v1.9.5-certification.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","51"
"46","docs/reviews/2026-09-19-gemini-v1.9.5-implementation-prompt.md","docs/reviews/archive/2026-09-19-gemini-v1.9.5-implementation-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","52"
"47","docs/reviews/2026-09-19-gemini-v1.9.5-item2-prompt.md","docs/reviews/archive/2026-09-19-gemini-v1.9.5-item2-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","53"
"48","docs/reviews/2026-09-19-gemini-v1.9.5-item3-prompt.md","docs/reviews/archive/2026-09-19-gemini-v1.9.5-item3-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","54"
"49","docs/reviews/2026-09-19-gemini-v1.9.5-item4-prompt.md","docs/reviews/archive/2026-09-19-gemini-v1.9.5-item4-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","55"
"50","docs/reviews/2026-09-19-gemini-v1.9.5-item4-remediation-prompt.md","docs/reviews/archive/2026-09-19-gemini-v1.9.5-item4-remediation-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","56"
"51","docs/reviews/2026-09-19-gemini-v1.9.5-item5-prompt.md","docs/reviews/archive/2026-09-19-gemini-v1.9.5-item5-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","57"
"52","docs/reviews/2026-09-19-gemini-v1.9.5-item5-testfix-prompt.md","docs/reviews/archive/2026-09-19-gemini-v1.9.5-item5-testfix-prompt.md","archived","mapped_in_archive_index","docs/reviews/archive/INDEX.md","58"
