"task","finding_id","severity","disposition","summary","source_path"
"paired-cycle initial audit","F-001","MEDIUM","VERIFIED","managed-document edit classified as runtime edit","docs/reviews/2026-09-20-codex-paired-cycle-review.md"
"paired-cycle initial audit","F-002","HIGH","VERIFIED","completion allowed before mandatory adversarial review","docs/reviews/2026-09-20-codex-paired-cycle-review.md"
"paired-cycle initial audit","F-003","MEDIUM","VERIFIED","adversarial prompt title did not satisfy completion gate","docs/reviews/2026-09-20-codex-paired-cycle-review.md"
"paired-cycle initial audit","F-004","LOW","VERIFIED","deep-check omitted archive chain","docs/reviews/2026-09-20-codex-paired-cycle-review.md"
"paired-cycle initial audit","F-005","MEDIUM","VERIFIED","freeze exception lacked durable recording","docs/reviews/2026-09-20-codex-paired-cycle-review.md"
"paired-cycle initial audit","F-006","MEDIUM","VERIFIED","light docs path did not match completion gate","docs/reviews/2026-09-20-codex-paired-cycle-review.md"
"paired-cycle initial audit","F-007","LOW","VERIFIED","no managed-document regression test","docs/reviews/2026-09-20-codex-paired-cycle-review.md"
"paired-cycle initial audit","F-008","LOW","VERIFIED","phase six permitted incomplete artifact sequence","docs/reviews/2026-09-20-codex-paired-cycle-review.md"
"paired-cycle initial audit","F-009","INFO","FALSE","missing release tag claimed as atomicity defect","docs/reviews/2026-09-20-codex-paired-cycle-review.md"
"paired-cycle remediation","R1","","RESOLVED","managed-document delivery and manifest pin","docs/reviews/archive/2026-09-20-deepseek-paired-cycle-remediation-review.md"
"paired-cycle remediation","R2","","RESOLVED","phase ordering and mandatory adversarial review","docs/reviews/archive/2026-09-20-deepseek-paired-cycle-remediation-review.md"
"paired-cycle remediation","R3","","RESOLVED","template headers, deep verification and bindings","docs/reviews/archive/2026-09-20-deepseek-paired-cycle-remediation-review.md"
"paired-cycle remediation","R4","","RESOLVED","artifact and receipt ordering","docs/reviews/archive/2026-09-20-deepseek-paired-cycle-remediation-review.md"
"paired-cycle remediation","R5","","RESOLVED","risk-scaled completion semantics","docs/reviews/archive/2026-09-20-deepseek-paired-cycle-remediation-review.md"
"paired-cycle remediation","R6","","RESOLVED","durable decision and registry recording","docs/reviews/archive/2026-09-20-deepseek-paired-cycle-remediation-review.md"
"paired-cycle remediation","R7","","RESOLVED","review paths, reparse rejection and upgrades","docs/reviews/archive/2026-09-20-deepseek-paired-cycle-remediation-review.md"
"paired-cycle remediation","R8","","RESOLVED","journal and corpus budgets","docs/reviews/archive/2026-09-20-deepseek-paired-cycle-remediation-review.md"
